office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
596,大阪市,株式会社SUC,カフェももの樹,http://momonoki.suc-group.co.jp,http://momonoki.suc-group.co.jp,wam_url,high,,,,"""カフェももの樹"" ""大阪市"" SUC 就労継続支援B型 Instagram",2026-03-12T16:12:55
597,大阪市,株式会社　YST,TrueColors,,,,,,,,"""TrueColors"" ""大阪市"" YST 就労継続支援B型 Instagram",2026-03-12T16:12:55
598,大阪市,社会福祉法人日本ライトハウス,日本ライトハウスワークセンター　さんさん,https://www.lighthouse.or.jp,https://www.lighthouse.or.jp,wam_url,high,,,,"""日本ライトハウスワークセンター　さんさん"" ""大阪市"" 日本ライトハウス 就労継続支援B型 Instagram",2026-03-12T16:12:55
599,大阪市,株式会社こども未来遊育,アソーラ,,,,,,,,"""アソーラ"" ""大阪市"" こども未来遊育 就労継続支援B型 Instagram",2026-03-12T16:12:55
6,大阪市,大阪聴覚障害者福祉会,あいらぶ工房,http://www.daichofuku.or.jp,http://www.daichofuku.or.jp,wam_url,high,,,,"""あいらぶ工房"" ""大阪市"" 大阪聴覚障害者福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
60,大阪市,株式会社まろやか,マイルド,,,,,,,,"""マイルド"" ""大阪市"" まろやか 就労継続支援B型 Instagram",2026-03-12T16:12:55
600,大阪市,株式会社HAPPY,HAPPY,https://happypoo.jp/happy-b.happypoo.jp,https://happypoo.jp/happy-b.happypoo.jp,wam_url,high,,,,"""HAPPY"" ""大阪市"" HAPPY 就労継続支援B型 Instagram",2026-03-12T16:12:55
601,大阪市,株式会社オールケアプロ,オールケア鶴見緑地公園事務所,https://allcare.co.jp,https://allcare.co.jp,wam_url,high,,,,"""オールケア鶴見緑地公園事務所"" ""大阪市"" オールケアプロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
602,大阪市,株式会社ライフサイズ,ライフサイズワークス,,,,,,,,"""ライフサイズワークス"" ""大阪市"" ライフサイズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
603,大阪市,合同会社ココロワークス,メタワーク,https://shougai-makenai.com/entry55.html,https://shougai-makenai.com/entry55.html,wam_url,high,,,,"""メタワーク"" ""大阪市"" ココロワークス 就労継続支援B型 Instagram",2026-03-12T16:12:55
604,大阪市,大阪府肢体不自由者協会,なにわの宮,,,,,,,,"""なにわの宮"" ""大阪市"" 大阪府肢体不自由者協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
605,大阪市,特定非営利活動法人　ひこうせん,就労継続支援B型　ひこうせん,,,,,,,,"""就労継続支援B型　ひこうせん"" ""大阪市"" ひこうせん 就労継続支援B型 Instagram",2026-03-12T16:12:55
606,大阪市,ハート株式会社,HOPEオフィス長堀,https://officenagahori.net,https://officenagahori.net,wam_url,high,,,,"""HOPEオフィス長堀"" ""大阪市"" ハート 就労継続支援B型 Instagram",2026-03-12T16:12:55
607,大阪市,ハート株式会社,　HOPEオフィス北浜,https://officekitahama.net,https://officekitahama.net,wam_url,high,,,,"""　HOPEオフィス北浜"" ""大阪市"" ハート 就労継続支援B型 Instagram",2026-03-12T16:12:55
608,大阪市,ハート　株式会社,ＨＯＰＥサポート北浜,https://kitahama.site,https://kitahama.site,wam_url,high,,,,"""ＨＯＰＥサポート北浜"" ""大阪市"" ハート 就労継続支援B型 Instagram",2026-03-12T16:12:55
609,大阪市,合同会社わーくぷらす,わーくぷらす堺筋本町ひまわり,http://himawari.work-plus.co.jp,http://himawari.work-plus.co.jp,wam_url,high,,,,"""わーくぷらす堺筋本町ひまわり"" ""大阪市"" わーくぷらす 就労継続支援B型 Instagram",2026-03-12T16:12:55
61,大阪市,合同会社アスター,アスター,,,,,,,,"""アスター"" ""大阪市"" アスター 就労継続支援B型 Instagram",2026-03-12T16:12:55
610,大阪市,合同会社グロウアップ,ワークセンターグロウアップ,,,,,,,,"""ワークセンターグロウアップ"" ""大阪市"" グロウアップ 就労継続支援B型 Instagram",2026-03-12T16:12:55
611,大阪市,RETRIEVE HOUSE株式会社,リトハウス長堀橋,,,,,,,,"""リトハウス長堀橋"" ""大阪市"" RETRIEVE HOUSE 就労継続支援B型 Instagram",2026-03-12T16:12:55
612,大阪市,株式会社ワンダーフレンズ,ワンダーフレンズ　たによん,,,,,,,,"""ワンダーフレンズ　たによん"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
613,大阪市,株式会社T'Sコーポレーション,うららか,https://www.t-s-corporation.jp,https://www.t-s-corporation.jp,wam_url,high,,,,"""うららか"" ""大阪市"" T'Sコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
614,大阪市,株式会社T’Sコーポレーション,あしなが,https://www.t-s-corporation.jp/company,https://www.t-s-corporation.jp/company,wam_url,high,,,,"""あしなが"" ""大阪市"" T’Sコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
615,大阪市,T'Sコーポレーション,あおぞら,,,,,,,,"""あおぞら"" ""大阪市"" T'Sコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
616,大阪市,ハートキャリー合同会社,ハートキャリー,http://heart-carry.com,http://heart-carry.com,wam_url,high,,,,"""ハートキャリー"" ""大阪市"" ハートキャリー 就労継続支援B型 Instagram",2026-03-12T16:12:55
617,大阪市,一般社団法人マイ・スタイル,マイ・スタイル堺筋本町,http://mystyle-osaka.com/sakaisujihonmachi,http://mystyle-osaka.com/sakaisujihonmachi,wam_url,high,,,,"""マイ・スタイル堺筋本町"" ""大阪市"" マイ・スタイル 就労継続支援B型 Instagram",2026-03-12T16:12:55
618,大阪市,フォルテ合同会社,アルト就労継続支援,https://forte.center,https://forte.center,wam_url,high,,,,"""アルト就労継続支援"" ""大阪市"" フォルテ 就労継続支援B型 Instagram",2026-03-12T16:12:55
619,大阪市,一般社団法人ニュースタート,就労継続支援事業所リレー,,,,,,,,"""就労継続支援事業所リレー"" ""大阪市"" ニュースタート 就労継続支援B型 Instagram",2026-03-12T16:12:55
62,大阪市,株式会社しん,えすきすわーくす,https://www.eskisworks.com,https://www.eskisworks.com,wam_url,high,,,,"""えすきすわーくす"" ""大阪市"" しん 就労継続支援B型 Instagram",2026-03-12T16:12:55
620,大阪市,NPO法人RITARM,RITARM,https://ritarm.or.jp,https://ritarm.or.jp,wam_url,high,,,,"""RITARM"" ""大阪市"" NPO法人RITARM 就労継続支援B型 Instagram",2026-03-12T16:12:55
