office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
1835,大阪市,合同会社彩光,ゆいゆい,,,,,,,,"""ゆいゆい"" ""大阪市"" 彩光 就労継続支援B型 Instagram",2026-03-12T16:12:55
1836,大阪市,株式会社ホイミ,ホイミ堂西成店,,,,,,,,"""ホイミ堂西成店"" ""大阪市"" ホイミ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1837,大阪市,合同会社寿栄紘,笑たいむ,,,,,,,,"""笑たいむ"" ""大阪市"" 寿栄紘 就労継続支援B型 Instagram",2026-03-12T16:12:55
1838,大阪市,株式会社シクロ,ＡＢＦ,,,,,,,,"""ＡＢＦ"" ""大阪市"" シクロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1839,大阪市,株式会社エープレイス,らら,,,,,,,,"""らら"" ""大阪市"" エープレイス 就労継続支援B型 Instagram",2026-03-12T16:12:55
184,大阪市,株式会社Go2,障がい福祉サポートGo！,,,,,,,,"""障がい福祉サポートGo！"" ""大阪市"" Go2 就労継続支援B型 Instagram",2026-03-12T16:12:55
1840,大阪市,合同会社ｋｉｎｄ,就労継続支援Ｂ型　ライン,,,,,,,,"""就労継続支援Ｂ型　ライン"" ""大阪市"" ｋｉｎｄ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1841,大阪市,株式会社ふぅらんが,就労継続支援Ｂ型作業所　おまっせ,,,,,,,,"""就労継続支援Ｂ型作業所　おまっせ"" ""大阪市"" ふぅらんが 就労継続支援B型 Instagram",2026-03-12T16:12:55
1842,大阪市,株式会社ふぅらんが,就労継続支援Ｂ型作業所　ほんでなぁ,,,,,,,,"""就労継続支援Ｂ型作業所　ほんでなぁ"" ""大阪市"" ふぅらんが 就労継続支援B型 Instagram",2026-03-12T16:12:55
1843,大阪市,株式会社エデン,エデン,,,,,,,,"""エデン"" ""大阪市"" エデン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1844,大阪市,株式会社モードファイブ,ａｌｏｈａ岸里玉出,,,,,,,,"""ａｌｏｈａ岸里玉出"" ""大阪市"" モードファイブ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1845,大阪市,ＤＡＹＳ株式会社,Ｄａｙｓ　ｗｏｒｋｓ,,,,,,,,"""Ｄａｙｓ　ｗｏｒｋｓ"" ""大阪市"" ＤＡＹＳ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1846,大阪市,合同会社あぺりあ,みかん,,,,,,,,"""みかん"" ""大阪市"" あぺりあ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1847,大阪市,株式会社ひまわり,ひまわり,,,,,,,,"""ひまわり"" ""大阪市"" ひまわり 就労継続支援B型 Instagram",2026-03-12T16:12:55
1848,大阪市,株式会社シンシアホーム,シンシアホーム,,,,,,,,"""シンシアホーム"" ""大阪市"" シンシアホーム 就労継続支援B型 Instagram",2026-03-12T16:12:55
1849,大阪市,エフォート株式会社,就労支援事業所ｈａｌｕ,,,,,,,,"""就労支援事業所ｈａｌｕ"" ""大阪市"" エフォート 就労継続支援B型 Instagram",2026-03-12T16:12:55
185,大阪市,合同会社ライフサポートつばさ,就労継続支援B型事業所　エル住吉,,,,,,,,"""就労継続支援B型事業所　エル住吉"" ""大阪市"" ライフサポートつばさ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1850,大阪市,株式会社Ｎｏｉｒ,シーク南森町,https://noir-osaka.jp,https://noir-osaka.jp,wam_url,high,,,,"""シーク南森町"" ""大阪市"" Ｎｏｉｒ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1851,大阪市,株式会社ライラ,多機能事業所ライラ,,,,,,,,"""多機能事業所ライラ"" ""大阪市"" ライラ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1852,大阪市,合同会社ヘブンリーハナ,ＯＨＡＮＡ　中崎町,,,,,,,,"""ＯＨＡＮＡ　中崎町"" ""大阪市"" ヘブンリーハナ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1853,大阪市,ＭＩＲＡＩファクトリー株式会社,サブカルビジネスセンター大阪,https://subculbusinesscenter.com/school/osaka,https://subculbusinesscenter.com/school/osaka,wam_url,high,,,,"""サブカルビジネスセンター大阪"" ""大阪市"" ＭＩＲＡＩファクトリー 就労継続支援B型 Instagram",2026-03-12T16:12:55
1854,大阪市,社会福祉法人　スワンなにわ,デイケアセンター夢の希（ドリーム）,http://care-net.biz/27/swan,http://care-net.biz/27/swan,wam_url,high,,,,"""デイケアセンター夢の希（ドリーム）"" ""大阪市"" スワンなにわ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1855,大阪市,社会福祉法人　ピースクラブ,ピース,,,,,,,,"""ピース"" ""大阪市"" ピースクラブ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1856,大阪市,一般社団法人大地のめぐみ,ミンナ・ファーム,,,,,,,,"""ミンナ・ファーム"" ""大阪市"" 大地のめぐみ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1857,大阪市,アクティブサポート株式会社,未来,http://a-support.cp.jp,http://a-support.cp.jp,wam_url,high,,,,"""未来"" ""大阪市"" アクティブサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1858,大阪市,さくら総合事務所株式会社,多機能型事業所ブルーム,,,,,,,,"""多機能型事業所ブルーム"" ""大阪市"" さくら総合事務所 就労継続支援B型 Instagram",2026-03-12T16:12:55
1859,大阪市,株式会社ｕｎｉｚｏｎ,ジョブサポートそらいろ,http://sorairo-nipponbashi.com,http://sorairo-nipponbashi.com,wam_url,high,,,,"""ジョブサポートそらいろ"" ""大阪市"" ｕｎｉｚｏｎ 就労継続支援B型 Instagram",2026-03-12T16:12:55
186,大阪市,株式会社　勇気,就労継続支援B型　SAKURA,,,,,,,,"""就労継続支援B型　SAKURA"" ""大阪市"" 勇気 就労継続支援B型 Instagram",2026-03-12T16:12:55
1860,大阪市,合同会社はなさく,ＳＰＯＴＬＡＢ夕陽ヶ丘,,,,,,,,"""ＳＰＯＴＬＡＢ夕陽ヶ丘"" ""大阪市"" はなさく 就労継続支援B型 Instagram",2026-03-12T16:12:55
1861,大阪市,株式会社ＧＲＩＴ　ＪＡＰＡＮ,ベストライフなんば４号店,,,,,,,,"""ベストライフなんば４号店"" ""大阪市"" ＧＲＩＴ　ＪＡＰＡＮ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1862,大阪市,株式会社三成,就労継続支援Ｂ型事業所　にちか,,,,,,,,"""就労継続支援Ｂ型事業所　にちか"" ""大阪市"" 三成 就労継続支援B型 Instagram",2026-03-12T16:12:55
1863,大阪市,合同会社夢海会,作業所　ひかり,,,,,,,,"""作業所　ひかり"" ""大阪市"" 夢海会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1864,大阪市,合同会社Ｍａｋｉ　Ｌａｂ,えんじゅ,https://www.maki-lab.net,https://www.maki-lab.net,wam_url,high,,,,"""えんじゅ"" ""大阪市"" Ｍａｋｉ　Ｌａｂ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1865,大阪市,株式会社国際グループ,ハッピーアクア,http://happy-aqua.com,http://happy-aqua.com,wam_url,high,,,,"""ハッピーアクア"" ""大阪市"" 国際グループ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1866,大阪市,有限会社　ほっと・ステーション,しどろもどろ,,,,,,,,"""しどろもどろ"" ""大阪市"" 有限会社　ほっと・ステーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
1867,大阪市,社会福祉法人治栄会,とどまつ園,https://www.jieikai.or.jp/facilities/todomatsuen,https://www.jieikai.or.jp/facilities/todomatsuen,wam_url,high,,,,"""とどまつ園"" ""大阪市"" 治栄会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1868,大阪市,株式会社ジャパンプランニング,福らく,,,,,,,,"""福らく"" ""大阪市"" ジャパンプランニング 就労継続支援B型 Instagram",2026-03-12T16:12:55
1869,大阪市,株式会社ＡＲＴ－ＩＮＮ,大阪障害者就労実務指導センター,,,,,,,,"""大阪障害者就労実務指導センター"" ""大阪市"" ＡＲＴ－ＩＮＮ 就労継続支援B型 Instagram",2026-03-12T16:12:55
187,大阪市,株式会社ねこ,にゃんこ,,,,,,,,"""にゃんこ"" ""大阪市"" ねこ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1870,大阪市,アップサポート株式会社,ゆめケアＥＮＩＳＩＡ,,,,,,,,"""ゆめケアＥＮＩＳＩＡ"" ""大阪市"" アップサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1871,大阪市,特定非営利活動法人　翔夢,ドリームネット,http://npo-cam.jp,http://npo-cam.jp,wam_url,high,,,,"""ドリームネット"" ""大阪市"" 翔夢 就労継続支援B型 Instagram",2026-03-12T16:12:55
1872,大阪市,特定非営利活動法人　スカイ・ラヴ,スカイ・アンドロメダ,http://sky-love.org,http://sky-love.org,wam_url,high,,,,"""スカイ・アンドロメダ"" ""大阪市"" スカイ・ラヴ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1873,大阪市,特定非営利活動法人　白ゆり,あんず,https://www.shirayuri-group-2004.com,https://www.shirayuri-group-2004.com,wam_url,high,,,,"""あんず"" ""大阪市"" 白ゆり 就労継続支援B型 Instagram",2026-03-12T16:12:55
1874,大阪市,株式会社せいあい,Ａｐｒｉｌ,,,,,,,,"""Ａｐｒｉｌ"" ""大阪市"" せいあい 就労継続支援B型 Instagram",2026-03-12T16:12:55
1875,大阪市,ピースウェル南大阪合同会社,ＰＥＡＣＥウェル,,,,,,,,"""ＰＥＡＣＥウェル"" ""大阪市"" ピースウェル南大阪 就労継続支援B型 Instagram",2026-03-12T16:12:55
1876,大阪市,特定非営利活動法人まつさく,大阪障害者労働センター・受苦人,,,,,,,,"""大阪障害者労働センター・受苦人"" ""大阪市"" まつさく 就労継続支援B型 Instagram",2026-03-12T16:12:55
1877,大阪市,株式会社徳の庵,徳の庵平野,http://www.ne.jp/asahi/web/to/tokunoan,http://www.ne.jp/asahi/web/to/tokunoan,wam_url,high,,,,"""徳の庵平野"" ""大阪市"" 徳の庵 就労継続支援B型 Instagram",2026-03-12T16:12:55
1878,大阪市,株式会社フェニックス,まほろば事業所,,,,,,,,"""まほろば事業所"" ""大阪市"" フェニックス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1879,大阪市,株式会社ジパング,じぱんぐ,,,,,,,,"""じぱんぐ"" ""大阪市"" ジパング 就労継続支援B型 Instagram",2026-03-12T16:12:55
188,大阪市,社会福祉法人　いわき学園,いわき生野学園,https://www.iwakigakuen.or.jp/institution/iwakiikuno,https://www.iwakigakuen.or.jp/institution/iwakiikuno,wam_url,high,,,,"""いわき生野学園"" ""大阪市"" いわき学園 就労継続支援B型 Instagram",2026-03-12T16:12:55
1880,大阪市,株式会社　アートラス,就労支援Ｂ型　ＯＮ,,,,,,,,"""就労支援Ｂ型　ＯＮ"" ""大阪市"" アートラス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1881,大阪市,合同会社ＮＹＫコーポレーション,アジール,,,,,,,,"""アジール"" ""大阪市"" ＮＹＫコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
1882,大阪市,合同会社はるな,はるな作業所,,,,,,,,"""はるな作業所"" ""大阪市"" はるな 就労継続支援B型 Instagram",2026-03-12T16:12:55
1883,大阪市,ＮＰＯ法人ひまわり園,マーガレット工房（作業所）,,,,,,,,"""マーガレット工房（作業所）"" ""大阪市"" ＮＰＯ法人ひまわり園 就労継続支援B型 Instagram",2026-03-12T16:12:55
1884,大阪市,合同会社まいぺーす,就労継続支援Ｂ型事業所　りせす,,,,,,,,"""就労継続支援Ｂ型事業所　りせす"" ""大阪市"" まいぺーす 就労継続支援B型 Instagram",2026-03-12T16:12:55
1885,大阪市,株式会社ＳＨＩＮＤＥＮ,ハッピーセンターきりん,,,,,,,,"""ハッピーセンターきりん"" ""大阪市"" ＳＨＩＮＤＥＮ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1886,大阪市,株式会社ナリヤ,就労支援Ｂ型　優花,,,,,,,,"""就労支援Ｂ型　優花"" ""大阪市"" ナリヤ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1887,大阪市,合同会社Ｋｏｋｕａ,就労継続支援Ｂ型作業所　Ｏｈａｎａ,,,,,,,,"""就労継続支援Ｂ型作業所　Ｏｈａｎａ"" ""大阪市"" Ｋｏｋｕａ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1888,大阪市,株式会社さくら,さくらもち,,,,,,,,"""さくらもち"" ""大阪市"" さくら 就労継続支援B型 Instagram",2026-03-12T16:12:55
1889,大阪市,株式会社Ｈ＆Ｙ,じぇる芽ハウス,,,,,,,,"""じぇる芽ハウス"" ""大阪市"" Ｈ＆Ｙ 就労継続支援B型 Instagram",2026-03-12T16:12:55
189,大阪市,NPO法人生野共働の家,こさり,,,,,,,,"""こさり"" ""大阪市"" NPO法人生野共働の家 就労継続支援B型 Instagram",2026-03-12T16:12:55
1890,大阪市,株式会社地域情報ラボ,雨のち晴れ,https://amenochihare.art,https://amenochihare.art,wam_url,high,,,,"""雨のち晴れ"" ""大阪市"" 地域情報ラボ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1891,大阪市,ジュラン株式会社,就労継続支援Ｂ型事業所　くまの実,,,,,,,,"""就労継続支援Ｂ型事業所　くまの実"" ""大阪市"" ジュラン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1892,大阪市,株式会社志,障がい者生活支援センター楽気生,,,,,,,,"""障がい者生活支援センター楽気生"" ""大阪市"" 志 就労継続支援B型 Instagram",2026-03-12T16:12:55
1893,大阪市,株式会社Ｇｒｏｕｐ－Ｓ,ジョブアップルⅡ,,,,,,,,"""ジョブアップルⅡ"" ""大阪市"" Ｇｒｏｕｐ－Ｓ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1894,大阪市,株式会社Ｑｕｏｒｉｓ,就労継続支援Ｂ型ぱきら,https://lit.link/pakiraosaka,https://lit.link/pakiraosaka,wam_url,high,,,,"""就労継続支援Ｂ型ぱきら"" ""大阪市"" Ｑｕｏｒｉｓ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1895,大阪市,有限会社ＳＫ,就労支援センター　白ゆり　平野,,,,,,,,"""就労支援センター　白ゆり　平野"" ""大阪市"" 有限会社ＳＫ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1896,大阪市,わか株式会社,就労継続支援Ａ型Ｂ型　わか,,,,,,,,"""就労継続支援Ａ型Ｂ型　わか"" ""大阪市"" わか 就労継続支援B型 Instagram",2026-03-12T16:12:55
1897,大阪市,株式会社まんてんケアサービス,まんてん就労支援西住之江,,,,,,,,"""まんてん就労支援西住之江"" ""大阪市"" まんてんケアサービス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1898,大阪市,特定非営利活動法人長居公園元気ネット,フレンド工房,,,,,,,,"""フレンド工房"" ""大阪市"" 長居公園元気ネット 就労継続支援B型 Instagram",2026-03-12T16:12:55
1899,大阪市,株式会社ＥＸ０,就労継続支援Ｂ型　モモちゃんのおうち,,,,,,,,"""就労継続支援Ｂ型　モモちゃんのおうち"" ""大阪市"" ＥＸ０ 就労継続支援B型 Instagram",2026-03-12T16:12:55
19,大阪市,NPO法人N3,N3,https://nnn.or.jp,https://nnn.or.jp,wam_url,high,,,,"""N3"" ""大阪市"" NPO法人N3 就労継続支援B型 Instagram",2026-03-12T16:12:55
190,大阪市,株式会社とらの子ほーむ,株式会社とらの子ほーむ,https://www.toranoko-h.com,https://www.toranoko-h.com,wam_url,high,,,,"""株式会社とらの子ほーむ"" ""大阪市"" とらの子ほーむ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1900,大阪市,株式会社ＥＸＣＥＬ,就労継続支援Ｂ型Ｃｏｏｋｉｅ,,,,,,,,"""就労継続支援Ｂ型Ｃｏｏｋｉｅ"" ""大阪市"" ＥＸＣＥＬ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1901,大阪市,社会福祉法人　平成福祉会,にいたかの里,http://www.heiseifukushikai.com/social,http://www.heiseifukushikai.com/social,wam_url,high,,,,"""にいたかの里"" ""大阪市"" 平成福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1902,大阪市,株式会社コンストラクション・サービス,就労継続支援事業Ｂ型カーサ・ソレイユ,https://casa.const-s.ne.jp,https://casa.const-s.ne.jp,wam_url,high,,,,"""就労継続支援事業Ｂ型カーサ・ソレイユ"" ""大阪市"" コンストラクション・サービス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1903,大阪市,株式会社へいわじゃぱん,へいわ　らいふ　けあ　じゃぱん　びぃがた,,,,,,,,"""へいわ　らいふ　けあ　じゃぱん　びぃがた"" ""大阪市"" へいわじゃぱん 就労継続支援B型 Instagram",2026-03-12T16:12:55
1904,大阪市,株式会社エピグラフ,エピグラフ,,,,,,,,"""エピグラフ"" ""大阪市"" エピグラフ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1905,大阪市,株式会社ドリームエンタープライズ,夢のかたち,,,,,,,,"""夢のかたち"" ""大阪市"" ドリームエンタープライズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1906,大阪市,株式会社Ｎｏｖｅｌ　Ｐｌｕｓ,ココフル,,,,,,,,"""ココフル"" ""大阪市"" Ｎｏｖｅｌ　Ｐｌｕｓ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1907,大阪市,特定非営利活動法人こうろ,もろぐち支援センター,,,,,,,,"""もろぐち支援センター"" ""大阪市"" こうろ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1908,大阪市,株式会社未来サポート,就労継続支援事業所　未来サポート,http://mirai-sp1115.com,http://mirai-sp1115.com,wam_url,high,,,,"""就労継続支援事業所　未来サポート"" ""大阪市"" 未来サポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1909,大阪市,株式会社　だるま園,就労継続支援　だるま園,http://hp.kaipoke.biz/kpc,http://hp.kaipoke.biz/kpc,wam_url,high,,,,"""就労継続支援　だるま園"" ""大阪市"" だるま園 就労継続支援B型 Instagram",2026-03-12T16:12:55
191,大阪市,NPO法人日和,ひより家,,,,,,,,"""ひより家"" ""大阪市"" NPO法人日和 就労継続支援B型 Instagram",2026-03-12T16:12:55
1910,大阪市,株式会社誠幸,あすなろ　まほろば,,,,,,,,"""あすなろ　まほろば"" ""大阪市"" 誠幸 就労継続支援B型 Instagram",2026-03-12T16:12:55
1911,大阪市,特定非営利活動法人絵光社,ひととてワークス,,,,,,,,"""ひととてワークス"" ""大阪市"" 絵光社 就労継続支援B型 Instagram",2026-03-12T16:12:55
1912,大阪市,一般社団法人　エル・チャレンジ,えるえる,http://l-challenge.com/ll,http://l-challenge.com/ll,wam_url,high,,,,"""えるえる"" ""大阪市"" エル・チャレンジ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1913,大阪市,ＮＰＯ法人リバイブ・ハウス,癒しカフェ～Ｓｔｅｐ　ｂｙ　Ｓｔｅｐ～,,,,,,,,"""癒しカフェ～Ｓｔｅｐ　ｂｙ　Ｓｔｅｐ～"" ""大阪市"" ＮＰＯ法人リバイブ・ハウス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1914,大阪市,ＳＯＲＫ　ＦＡＣＴＯＲＹ株式会社,ソフ,http://sofinc.jp,http://sofinc.jp,wam_url,high,,,,"""ソフ"" ""大阪市"" ＳＯＲＫ　ＦＡＣＴＯＲＹ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1915,大阪市,株式会社ＩＴワークス,ＩＴワークス大阪,https://itworks-osaka.com,https://itworks-osaka.com,wam_url,high,,,,"""ＩＴワークス大阪"" ""大阪市"" ＩＴワークス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1916,大阪市,合同会社ヘブンリーハナ,ＯＨＡＮＡ　北浜,,,,,,,,"""ＯＨＡＮＡ　北浜"" ""大阪市"" ヘブンリーハナ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1917,大阪市,株式会社ユートピア,就労継続支援Ｂ型　ぴあオフィス,,,,,,,,"""就労継続支援Ｂ型　ぴあオフィス"" ""大阪市"" ユートピア 就労継続支援B型 Instagram",2026-03-12T16:12:55
1918,大阪市,株式会社クリサポ,就労継続支援Ｂ型事業所　くりの木,,,,,,,,"""就労継続支援Ｂ型事業所　くりの木"" ""大阪市"" クリサポ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1919,大阪市,英福合同会社,青空,https://www.aozora11.com,https://www.aozora11.com,wam_url,high,,,,"""青空"" ""大阪市"" 英福 就労継続支援B型 Instagram",2026-03-12T16:12:55
192,大阪市,株式会社セブンコーポレーション,にこにこハウス,,,,,,,,"""にこにこハウス"" ""大阪市"" セブンコーポレーション 就労継続支援B型 Instagram",2026-03-12T16:12:55
1920,大阪市,合同会社ＤＫＳＫ,就労継続支援Ｂ型事業所アイランド,https://www.b-island.info,https://www.b-island.info,wam_url,high,,,,"""就労継続支援Ｂ型事業所アイランド"" ""大阪市"" ＤＫＳＫ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1921,大阪市,株式会社スマイル,就労支援　ニコリ,,,,,,,,"""就労支援　ニコリ"" ""大阪市"" スマイル 就労継続支援B型 Instagram",2026-03-12T16:12:55
1922,大阪市,特定非営利活動法人絵光社,ひととてワークス松屋町,,,,,,,,"""ひととてワークス松屋町"" ""大阪市"" 絵光社 就労継続支援B型 Instagram",2026-03-12T16:12:55
1923,大阪市,ｓｉｇｎ．ｓｉｍｐｌｅ合同会社,ｈｉｍａｗａｒｉ,,,,,,,,"""ｈｉｍａｗａｒｉ"" ""大阪市"" ｓｉｇｎ．ｓｉｍｐｌｅ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1924,大阪市,リッツ・ビル・ケアー株式会社,みやび,,,,,,,,"""みやび"" ""大阪市"" リッツ・ビル・ケアー 就労継続支援B型 Instagram",2026-03-12T16:12:55
1925,大阪市,株式会社Ｍ２,アイビー,,,,,,,,"""アイビー"" ""大阪市"" Ｍ２ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1926,大阪市,一般社団法人グリーン,あいらんど,,,,,,,,"""あいらんど"" ""大阪市"" グリーン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1927,大阪市,プラスビーアンドパートナーズ株式会社,メタゲーム心斎橋,,,,,,,,"""メタゲーム心斎橋"" ""大阪市"" プラスビーアンドパートナーズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
193,大阪市,社会福祉法人いわき学園,いわき生野学園ティンカーベルファクト,https://www.iwakigakuen.or.jp/institution/iwakiikuno,https://www.iwakigakuen.or.jp/institution/iwakiikuno,wam_url,high,,,,"""いわき生野学園ティンカーベルファクト"" ""大阪市"" いわき学園 就労継続支援B型 Instagram",2026-03-12T16:12:55
194,大阪市,一般社団法人夢,サポートネットワークきりん,,,,,,,,"""サポートネットワークきりん"" ""大阪市"" 夢 就労継続支援B型 Instagram",2026-03-12T16:12:55
195,大阪市,特定非営利活動法人ザ・ホープフル,ぱれっと,,,,,,,,"""ぱれっと"" ""大阪市"" ザ・ホープフル 就労継続支援B型 Instagram",2026-03-12T16:12:55
196,大阪市,株式会社HARU　HARU,HARU　HARU,http://www.haru-haru0808.com,http://www.haru-haru0808.com,wam_url,high,,,,"""HARU　HARU"" ""大阪市"" HARU　HARU 就労継続支援B型 Instagram",2026-03-12T16:12:55
197,大阪市,株式会社イーストガーデン,心楽,,,,,,,,"""心楽"" ""大阪市"" イーストガーデン 就労継続支援B型 Instagram",2026-03-12T16:12:55
198,大阪市,有限会社スマイキー,青空,https://www.s-aozora.jp,https://www.s-aozora.jp,wam_url,high,,,,"""青空"" ""大阪市"" 有限会社スマイキー 就労継続支援B型 Instagram",2026-03-12T16:12:55
199,大阪市,株式会社パール,パール,https://pearl.work,https://pearl.work,wam_url,high,,,,"""パール"" ""大阪市"" パール 就労継続支援B型 Instagram",2026-03-12T16:12:55
2,大阪市,株式会社桜ほのぼの苑,桜ほのぼの苑玉川事業所,,,,,,,,"""桜ほのぼの苑玉川事業所"" ""大阪市"" 桜ほのぼの苑 就労継続支援B型 Instagram",2026-03-12T16:12:55
20,大阪市,特定非営利活動法人　あとりえ,ぱれっと,,,,,,,,"""ぱれっと"" ""大阪市"" あとりえ 就労継続支援B型 Instagram",2026-03-12T16:12:55
200,大阪市,株式会社 アプリ,ポルテ,http://porte-shub.com,http://porte-shub.com,wam_url,high,,,,"""ポルテ"" ""大阪市"" アプリ 就労継続支援B型 Instagram",2026-03-12T16:12:55
201,大阪市,合同会社悠の里,リヤン,,,,,,,,"""リヤン"" ""大阪市"" 悠の里 就労継続支援B型 Instagram",2026-03-12T16:12:55
202,大阪市,特定非営利活動法人ピースツリー,障がい福祉　和,,,,,,,,"""障がい福祉　和"" ""大阪市"" ピースツリー 就労継続支援B型 Instagram",2026-03-12T16:12:55
203,大阪市,特定非営利活動法人ReliancePlace,リライアンスプレイス就労支援実務センター,,,,,,,,"""リライアンスプレイス就労支援実務センター"" ""大阪市"" ReliancePlace 就労継続支援B型 Instagram",2026-03-12T16:12:55
204,大阪市,株式会社リブピース,リブピースⅠ,,,,,,,,"""リブピースⅠ"" ""大阪市"" リブピース 就労継続支援B型 Instagram",2026-03-12T16:12:55
205,大阪市,社会福祉法人　野のはな,障碍者支援事業所　野のはな,,,,,,,,"""障碍者支援事業所　野のはな"" ""大阪市"" 野のはな 就労継続支援B型 Instagram",2026-03-12T16:12:55
206,大阪市,株式会社ボディデザイン,Seed,http://seed-support.work,http://seed-support.work,wam_url,high,,,,"""Seed"" ""大阪市"" ボディデザイン 就労継続支援B型 Instagram",2026-03-12T16:12:55
207,大阪市,株式会社Nine,障がい福祉サポートネットClan　Nine,,,,,,,,"""障がい福祉サポートネットClan　Nine"" ""大阪市"" Nine 就労継続支援B型 Instagram",2026-03-12T16:12:55
208,大阪市,株式会社MIRAI,パーパスⅡ,https://link-ring.jp,https://link-ring.jp,wam_url,high,,,,"""パーパスⅡ"" ""大阪市"" MIRAI 就労継続支援B型 Instagram",2026-03-12T16:12:55
209,大阪市,株式会社パール,パール新今里,,,,,,,,"""パール新今里"" ""大阪市"" パール 就労継続支援B型 Instagram",2026-03-12T16:12:55
21,大阪市,特定非営利活動法人セルフ社,セルフ社,https://selfsha.net/wp,https://selfsha.net/wp,wam_url,high,,,,"""セルフ社"" ""大阪市"" セルフ社 就労継続支援B型 Instagram",2026-03-12T16:12:55
210,大阪市,株式会社ゆめかわ,就労継続支援B型事業所ふぁむ,,,,,,,,"""就労継続支援B型事業所ふぁむ"" ""大阪市"" ゆめかわ 就労継続支援B型 Instagram",2026-03-12T16:12:55
211,大阪市,株式会社Nine,障がい福祉サポートネットNine 勝山北,,,,,,,,"""障がい福祉サポートネットNine 勝山北"" ""大阪市"" Nine 就労継続支援B型 Instagram",2026-03-12T16:12:55
212,大阪市,(株)シクロ,就労継続支援B型事業所エシャペ,https://cyclo-inc.jp,https://cyclo-inc.jp,wam_url,high,,,,"""就労継続支援B型事業所エシャペ"" ""大阪市"" (株)シクロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
213,大阪市,一般社団法人アミュー,アミューデイズ,,,,,,,,"""アミューデイズ"" ""大阪市"" アミュー 就労継続支援B型 Instagram",2026-03-12T16:12:55
214,大阪市,株式会社恵成,エナリ,,,,,,,,"""エナリ"" ""大阪市"" 恵成 就労継続支援B型 Instagram",2026-03-12T16:12:55
215,大阪市,株式会社ＢＥ　ＮＡＴＵＲＡＬ,ＡＱＵＡ　ＬＡＮＤ,,,,,,,,"""ＡＱＵＡ　ＬＡＮＤ"" ""大阪市"" ＢＥ　ＮＡＴＵＲＡＬ 就労継続支援B型 Instagram",2026-03-12T16:12:55
